implementation,shape_type,m,n,q,p,total_ops,avg_seconds,avg_speedup,avg_serial_speedup,avg_cost,sample_count
Implementation 1 (Serial),m_dominant,3600,1200,1800,25,15552000000,10.279092000,1.000000,1.000000,10.279092000,1
Implementation 1 (Serial),m_dominant,3600,1200,2400,1,20736000000,26.211324000,1.000000,1.000000,26.211324000,1
Implementation 1 (Serial),m_dominant,3600,1200,2400,4,20736000000,26.211324000,1.000000,1.000000,26.211324000,1
Implementation 1 (Serial),m_dominant,3600,1200,2400,9,20736000000,26.211324000,1.000000,1.000000,26.211324000,1
Implementation 1 (Serial),m_dominant,3600,1200,2400,16,20736000000,26.211324000,1.000000,1.000000,26.211324000,1
Implementation 1 (Serial),m_dominant,3600,1200,2400,25,20736000000,26.211324000,1.000000,1.000000,26.211324000,1
Implementation 1 (Serial),m_dominant,3600,1200,3000,1,25920000000,30.737773000,1.000000,1.000000,30.737773000,1
Implementation 1 (Serial),m_dominant,3600,1200,3000,4,25920000000,30.737773000,1.000000,1.000000,30.737773000,1
Implementation 1 (Serial),m_dominant,3600,1200,3000,9,25920000000,30.737773000,1.000000,1.000000,30.737773000,1
Implementation 1 (Serial),m_dominant,3600,1200,3000,16,25920000000,30.737773000,1.000000,1.000000,30.737773000,1
Implementation 1 (Serial),m_dominant,3600,1200,3000,25,25920000000,30.737773000,1.000000,1.000000,30.737773000,1
Implementation 1 (Serial),m_dominant,3600,1800,600,1,7776000000,4.969164000,1.000000,1.000000,4.969164000,1
Implementation 1 (Serial),m_dominant,3600,1800,600,4,7776000000,4.969164000,1.000000,1.000000,4.969164000,1
Implementation 1 (Serial),m_dominant,3600,1800,600,9,7776000000,4.969164000,1.000000,1.000000,4.969164000,1
Implementation 1 (Serial),m_dominant,3600,1800,600,16,7776000000,4.969164000,1.000000,1.000000,4.969164000,1
Implementation 1 (Serial),m_dominant,3600,1800,600,25,7776000000,4.969164000,1.000000,1.000000,4.969164000,1
Implementation 1 (Serial),m_dominant,3600,1800,1200,1,15552000000,11.985736000,1.000000,1.000000,11.985736000,1
Implementation 1 (Serial),m_dominant,3600,1800,1200,4,15552000000,11.985736000,1.000000,1.000000,11.985736000,1
Implementation 1 (Serial),m_dominant,3600,1800,1200,9,15552000000,11.985736000,1.000000,1.000000,11.985736000,1
Implementation 1 (Serial),m_dominant,3600,1800,1200,16,15552000000,11.985736000,1.000000,1.000000,11.985736000,1
